text,label
Tôi không cảm thấy bị sỉ nhục,0
Tôi có thể đi từ cảm giác vô vọng đến hy vọng chết tiệt chỉ từ việc ở bên cạnh một người quan tâm và tỉnh táo,0
im lấy một phút để đăng tôi cảm thấy tham lam sai,3
"Tôi bao giờ cảm thấy hoài cổ về lò sưởi, tôi sẽ biết rằng nó vẫn còn trên tài sản",2
Tôi đang cảm thấy cáu kỉnh,3
"Gần đây tôi cảm thấy hơi nặng nề, không biết tại sao lại như vậy",0
Tôi đã uống hoặc miligam hoặc số tiền được đề nghị và tôi ngủ nhanh hơn rất nhiều nhưng tôi cũng cảm thấy rất buồn cười,5
Tôi cảm thấy bối rối về cuộc sống như một thiếu niên hoặc mệt mỏi như một người đàn ông tuổi,4
"Tôi đã làm việc với Petronas trong nhiều năm, tôi cảm thấy rằng Petronas đã hoạt động tốt và kiếm được lợi nhuận khổng lồ",1
Tôi cũng cảm thấy lãng mạn,2
Tôi cảm thấy như tôi phải làm cho sự đau khổ mà tôi đang thấy có ý nghĩa gì đó,0
Tôi cảm thấy rằng chạy bộ là một kinh nghiệm thiêng liêng và tôi có thể mong đợi có một số cuộc gặp gỡ tâm linh,1
Tôi nghĩ đây là thời điểm dễ dàng nhất trong năm để cảm thấy không hài lòng,3
"Tôi cảm thấy năng lượng thấp, tôi chỉ khát",0
"Tôi có sự đồng cảm to lớn với quan điểm chung, nhưng với tư cách là một nhà văn proto có thể đang cố gắng tìm thời gian để viết trong các góc của cuộc sống và không có dấu hiệu của một đại lý, chứ đừng nói đến hợp đồng xuất bản, điều này cảm thấy hơi quý giá",1
"Tôi không cảm thấy yên tâm, sự lo lắng đang ở mỗi bên",1
Tôi thực sự không cảm thấy xấu hổ như vậy,0
Tôi cảm thấy khá thảm hại hầu hết thời gian,0
Tôi bắt đầu cảm thấy tình cảm về những con búp bê tôi có khi còn nhỏ và vì vậy bắt đầu một bộ sưu tập búp bê Barbie cổ điển từ những năm sáu mươi,0
Bây giờ tôi cảm thấy thỏa hiệp và hoài nghi về giá trị của mọi đơn vị công việc tôi đưa vào,4
Tôi cảm thấy khó chịu và bị từ chối mà không ai làm bất cứ điều gì hoặc nói bất cứ điều gì,3
"Tôi cảm thấy hoàn toàn choáng ngợp, tôi có hai chiến lược giúp tôi cảm thấy có căn cứ: trút hết tâm hồn mình vào nhật ký dưới dạng một lá thư gửi Chúa, và sau đó kết thúc bằng một danh sách năm điều tôi biết ơn nhất:",4
Tôi có cảm giác cô ấy thích thú và thích thú,1
Tôi đã có thể giúp Chai Lifeline với sự hỗ trợ và khuyến khích của bạn là một cảm giác tuyệt vời và tôi rất vui vì bạn đã có thể giúp tôi,1
Tôi đã cảm thấy như tôi chết tiệt mặc dù bởi vì tôi thường không ăn gì cả vào buổi sáng,3
"Tôi vẫn yêu SOO của mình và cầu chúc những điều tốt đẹp nhất cho anh ấy, tôi không còn có thể chịu đựng được ảnh hưởng của BM đối với cuộc sống của chúng tôi và thực tế điều đó đã biến Soo của tôi thành một người tức giận cay đắng, không phải lúc nào cũng đặc biệt tử tế với những người xung quanh khi anh ấy cảm thấy căng thẳng",0
Tôi cảm thấy rất ức chế trong nhà bếp của người khác như tôi vẽ trên bức tranh của người khác,0
Tôi trở nên choáng ngợp và cảm thấy bị đánh bại,0
"Tôi cảm thấy hơi kinh hoàng khi cô ấy cảm thấy như cô ấy cần phải giải thích rộng rãi và đầy đủ các biện pháp cơ thể của cô ấy, v.v. pp",3
Tôi cảm thấy gà chết vượt trội hơn hoặc đứa trẻ đau buồn,1
Tôi cảm thấy thích thú với cảm giác thanh lịch trong một chiếc váy bút chì vừa vặn hoàn hảo,1
Tôi nhớ cảm giác đau khổ sâu sắc trong vài ngày,4
"Tôi đã nhìn thấy và đọc trong vài ngày qua, tôi cảm thấy ấn tượng bởi nhiều hơn một vài công ty",5
Tôi leo lên đồi cảm thấy thất vọng vì tôi có nhịp độ hoàn toàn sai cho khóa học này và rằng một yếu tố chưa bao giờ cản trở tôi đã tạo ra một vết lõm như vậy trong ngày,3
"Tôi không thể tưởng tượng một kịch bản thực tế trong đó tôi sẽ kết nối cảm xúc đủ với ai đó để cảm thấy hoàn toàn được chấp nhận và an toàn, nơi tôi có thể chấp nhận được về mặt đạo đức khi tiếp xúc thể xác gần gũi và kéo dài và nơi tình dục sẽ không được mong đợi sau đó",1
Tôi không chắc điều gì sẽ khiến tôi cảm thấy hài lòng nếu có bất cứ điều gì,1
Tôi đã cảm thấy cần phải sáng tạo,1
"Tuy nhiên, tôi muốn bạn biết rằng nếu điều gì đó khiến bạn cảm thấy ít hơn thì bản thân tuyệt vời của bạn sẽ rời xa họ",1
Tôi cảm thấy hơi thô lỗ khi viết thư cho một người đàn ông lớn tuổi để xin quà vì tôi cảm thấy hơi tham lam nhưng Giáng sinh là gì nếu không phải là lòng tham nhẹ,3
Tôi cần bạn Tôi cần một người Tôi cần được bảo vệ và cảm thấy an toàn Tôi nhỏ bé Bây giờ tôi thấy mình trong một mùa không nói nên lời,1
"Tôi dự định chia sẻ những câu chuyện cuộc sống hàng ngày của tôi, những cuộc phiêu lưu du lịch, cảm hứng và những sáng tạo thủ công với bạn và hy vọng bạn cũng sẽ cảm thấy được truyền cảm hứng",1
"Tôi đã có cây thông Noel của mình, tôi có hai cây và đang cảm thấy lễ hội, điều mà tôi chắc chắn đang thúc đẩy tôi bắt đầu với cuốn sách này",1
Tôi đã mặc nó một lần một mình với một ít kem che khuyết điểm và trong những ngày tôi cảm thấy dũng cảm nhưng không muốn bị nhợt nhạt thì nó hoàn hảo,1
Tôi cảm thấy rất đam mê khi một số kẻ ngốc quyết định chọc và chế giễu chúng tôi,1
"Tôi đã cảm thấy rất chán nản, chúng tôi đã cướp Peter để trả tiền cho Paul để có được của chúng tôi trong năm nay nhưng chúng tôi không thể không có được theo cách này",0
"Tôi cảm thấy bơ phờ vì cần những thứ mới, một cái gì đó khác biệt",0
"Tôi đã mất tâm trí đặc biệt của mình nhưng đừng lo lắng, tôi vẫn tỉnh táo, tôi chỉ muốn bạn cảm nhận được những gì tôi cảm thấy khi đọc cuốn sách này Tôi không biết đã bao nhiêu lần người ta nói rằng Sam đặc biệt nhưng tôi có thể đảm bảo với bạn rằng nó đã nhiều lần hơn những gì tôi đã sử dụng trong đoạn đó Tôi đã nói với bạn rằng cô ấy đặc biệt",1
Tôi không thể buông bỏ cảm giác buồn bã rằng tôi muốn được chấp nhận ở đây trong ngôi nhà đầu tiên này của tôi,2
Trên một chuyến đi thuyền đến Đan Mạch,1
Tôi ngừng cảm thấy lạnh và bắt đầu cảm thấy nóng,3
Tôi cần cảm nhận bột để đảm bảo nó hoàn hảo,1
Tôi thấy mình cảm thấy hơi nản lòng vào buổi sáng hôm đó,0
Tôi cảm thấy ích kỷ và hư hỏng,3
"Tôi đã bị lúng túng một chút khi tôi viết, cảm thấy không chắc chắn rằng tôi có thể đi đâu đó với câu chuyện ngoài ý muốn",4
i túi qaf nhìn ai s cryin bây giờ jacynthe lookin good feelin tuyệt đẹp rupaul da cắt kéo chị em valentine mặt trời chán ngấy kayle ai s bố của bạn gerling thức dậy u không tử tế u,1
Tôi cảm thấy bạn biết về cơ bản giống như một kẻ giả mạo trong lĩnh vực khoa học viễn tưởng,0
"Tôi ghét sống dưới mái nhà của bố tôi bởi vì nó cho anh ta một cái cớ để trở thành một thằng khốn với tôi bởi vì anh ta cung cấp cho tôi sống ở đây, tôi nghĩ rằng anh ta cảm thấy rằng anh ta cần phải làm cho tôi cảm thấy không được chào đón nhất có thể vì vậy nghỉ ốm",0
Tôi cứ cảm thấy ngạc nhiên thú vị trước sự hỗ trợ của anh ấy và cũng là sự thoải mái của anh ấy trong những tình huống mới,5
"Tôi có cảm giác rằng nếu tôi có hoạt động tình dục mạnh mẽ hơn nữa trong thời gian tới, vâng, tôi đã bỏ lỡ điều đó khi những ngày xuất tinh, một phần trong tôi sẽ bắt đầu rơi ra",1
Tôi cảm nhận được nụ cười yêu thương ấm áp duyên dáng của mẹ tôi khi tôi cướp đi thời gian để nuôi dưỡng bản thân và chữa lành,1
"Tôi cảm thấy trong họ nói chuyện anh rể cực kỳ nổi tiếng, người mà tôi không có gì để nghĩ là cứng nhắc như vậy",1
"Tôi ăn, tôi có thể cảm thấy ngứa ran nhẹ nhàng trong suốt, gần như thể tôi đang cảm thấy sự chữa lành đang diễn ra ở cấp độ tế bào",2
"Tôi cảm thấy như chúng tôi bị áp lực phải trẻ trung, xinh đẹp, gầy gò và tùy thuộc vào xu hướng mà các cô gái trẻ hóa hoặc cấy ghép mông",4
"Tôi bắt đầu có chúng vài lần một tuần, cảm thấy bị tra tấn bởi ảo giác, di chuyển con người và số liệu, âm thanh và rung động;",4
Bây giờ tôi đã gần hoàn thành tuần cai nghiện và tôi cảm thấy tuyệt vời,5
Tôi cảm thấy ích kỷ khi đọc lại các bài đăng trước đây của mình về việc tôi chưa bao giờ yêu cầu cầu nguyện cho người khác Làm thế nào tôi không bao giờ nghĩ rằng có thể có những người khác ngoài kia xứng đáng với lời cầu nguyện của họ được trả lời trước lời cầu nguyện của chính tôi,3
Tôi biết nỗi đau mà cha mẹ cảm thấy khi một đứa trẻ tức giận trở nên bạo lực,3
Tôi đã ở trên một tàu lượn siêu tốc của cảm xúc về những cảm giác được cho là này rằng một cái gì đó khó chịu đang đến,0
"Tôi cho rằng lẽ thật của riêng tôi cần được chia sẻ, gần đây tôi không cảm thấy trung thành lắm, tôi sống trong sự nghi ngờ và không chắc chắn hơn là tôi có trong đức tin;",2
Tôi đã cảm thấy dũng cảm khi tôi mua nó và rõ ràng là khi tôi trang điểm,1
Tôi đang cảm thấy đau khổ nhưng tôi cũng là người mẹ tự hào nhất trên trái đất,0
"Tôi nghĩ rằng gia đình tôi yêu chúng tôi bất kể điều gì nhưng xung quanh bất cứ ai khác, tôi cảm thấy xấu hổ khi Michelle đi đạn đạo",0
Tôi không nhất thiết nghĩ rằng bom F và tình dục là cần thiết trong tất cả các câu chuyện nhưng tôi cảm thấy yên tâm khi tôi nhìn thấy chúng trên các tạp chí in,1
Tôi có thể cảm thấy buồng trứng của tôi đau nhức khi nói chuyện với tôi như tôi muốn đặt nó,0
Tôi không cảm thấy muốn làm nhiều Chris và tôi chủ yếu chỉ chụp quá nhiều ảnh về những thứ không quan trọng,0
Tôi mệt mỏi với cuốn sách và sẵn sàng đưa nó ra khỏi đây và phát hiện ra rằng tôi đã được đưa ra những hình ảnh không phù hợp và sau đó cảm thấy bị đổ lỗi cho kết quả đã không ngồi tốt,0
"Tôi đã quản lý thành công để kéo dài một bức tranh MXM, tôi cảm thấy rằng đây là một thành tựu đối với tôi và là một cách sử dụng đáng giá tiền bạc và thời gian của tôi, tôi sẽ sử dụng canvas cho các bản tóm tắt trong tương lai",1
Tôi nghĩ cảm xúc là một trong những điều quan trọng nhất mà chúng ta có,1
Tôi cảm thấy hoàn toàn vinh dự khi trở thành người có ảnh hưởng đến người phụ nữ xinh đẹp trẻ tài năng đầy đủ sức sống này,1
Tôi cảm thấy tức giận và bốc cháy,3
Tôi cảm thấy mình như một mảnh rác khốn khổ,0
"Tôi cảm thấy như tôi cần phải lập một danh sách, Leanne sẽ kinh hoàng khi nghĩ đến điều đó để tôi không bỏ lỡ bất cứ điều gì",3
"Tôi lái xe Dannika đến trường, tôi cảm thấy hơi vội vã và đây là điều chào đón tôi khi tôi rẽ vào góc đường",3
Tôi nhớ cảm giác rất tức giận với kẻ xả súng,3
Tôi cảm thấy rất vui và phấn khích vì tôi đã học được rất nhiều điều,1
"Tôi cảm thấy rằng tại các chương trình và xung quanh những con ngựa biểu diễn, mọi người đang tin tưởng và thoải mái vì hầu hết những con ngựa biểu diễn đều an toàn và yên tĩnh và được xử lý thường xuyên",1
"Tôi chỉ còn một vài thứ để làm và vào đầu tháng Mười Hai, tôi đã hoàn thành và cảm thấy tự mãn",1
Tôi nghĩ về cách bạn có thể khiến tôi cảm thấy và nhận ra rằng mọi thứ sẽ ổn,1
Tôi cảm thấy rất vô giá trị trong những lần tôi phải vật lộn để tìm việc làm,0
Tôi sẽ có thể nằm trên giường trong bóng tối và không cảm thấy sợ hãi ít nhất là trong một thời gian,4
Tôi đã sẵn sàng gặp mẹ ở sân bay và cảm nhận vòng tay luôn ủng hộ tôi,2
Tôi cảm thấy cay đắng hôm nay tâm trạng của tôi đã được kỳ lạ cả ngày vì vậy tôi đoán rằng nó,3
"Khi anh trai mẹ tôi qua đời sau khi bị tai nạn xe hơi, anh ấy đã mang cho tôi một món quà vì tôi đã vượt qua kỳ thi Mẫu năm với màu sắc bay bổng",0
Tôi đang buông bỏ sự thù hận đối với bất cứ ai mà tôi cảm thấy đã làm sai với tôi,3
Tôi nói chuyện với những vì tôi cảm thấy chúng không thể hiểu từ ngữ nhưng chúng có thể đọc được cảm xúc và biết cách hỗ trợ Tôi quyết định tôi nên về nhà,2
Tôi cảm thấy như vứt bỏ mảnh giấy rác rưởi,0
Tôi bắt đầu cảm thấy thích thú một cách gượng gạo trước bộ phim hài tầm thường về những sai lầm mà cuộc sống của tôi đang biến thành,1
Tôi thấy mọi cơ thể đều đẹp và chỉ muốn mọi người cảm thấy quan trọng trong cơ thể của họ,1
"Tôi nghe nói là những chủ sở hữu cảm thấy là nạn nhân của các hiệp hội của họ, hiệp hội, luật sư hoặc người quản lý tài sản;",0
"Tôi nói lời tạm biệt với fam tất cả họ đều buồn, khóc và tôi cảm thấy như một con chó cái vô tâm bởi vì hey im khá vui mừng được bay lần đầu tiên và bạn biết cũng để dành một năm ở một đất nước khác",3
Tôi sẽ không để con tôi khóc vì tôi cảm thấy rằng yêu cô ấy và Lily khi cô ấy còn nhỏ sẽ là cơ hội chỉ kéo dài trong vài tháng ngắn ngủi đó,2
i alba tôi cảm thấy tốt và im phù hợp trong,1
"Tôi cảm thấy phấn khích về những gì tôi đang làm một lần nữa, tôi cảm thấy như tôi có rất nhiều việc phải làm",1
Tôi cũng biết cảm giác tuyệt vời như thế nào khi nhìn lại và thấy rằng tôi đã tôn trọng lời nói của mình và điều đó giúp ích ngay từ đầu,1
Ý tôi là thực sự làm việc thực sự chăm chỉ để có được một kỹ năng kỹ thuật cao như vậy trong Wushu cảm thấy hơi xấu hổ nhưng bằng cách nào đó có động lực khi tôi thấy những đứa trẻ biểu diễn wushu toàn tâm toàn ý mặc dù mệt mỏi,0
"Tôi cảm thấy như mọi thứ đang trở nên hơi choáng ngợp, một vài giọt toner này thực sự giúp tôi bình tĩnh và làm dịu",1
"Tôi hy vọng rằng bạn nhận ra rằng cần phải nỗ lực ít như thế nào để làm cho một người cảm thấy tốt hơn về bản thân hoặc hoàn cảnh của họ, cho dù đó là tôi, một thành viên trong gia đình, một người bạn đại học hoặc trung học, một người hàng xóm trên đường phố hoặc thậm chí là một người hoàn toàn xa lạ",1
Hôm nay tôi cảm thấy rất lễ hội đến nỗi tôi thậm chí sẽ dựng cây lên ngay sau khi tôi hoàn thành việc này và bắt kịp với những tuần diễn ra trên Phố Đăng quang,1
Phát hiện ra rằng tôi không bị bệnh không nghiêm trọng,1
Tôi đã làm tốt trong lớp nhưng sự kết hợp của cảm giác không thành công khi là người đàn ông đã xử lý căng thẳng muộn và tuần khủng khiếp của tôi dẫn đến việc tôi gần như khóc sau khi vật lộn xong,0
Tôi cảm thấy nó hiếm khi thúc đẩy bất kỳ nguyên nhân đáng giá nào và tôi luôn tuân thủ quy tắc không đăng bất cứ điều gì lên mạng mà tôi sẽ không sẵn sàng nói với ai đó trước mặt ai đó,1
Tôi cảm thấy tất cả hữu ích,1
Tôi cảm thấy như một số bạn có nỗi đau và bạn không thể tưởng tượng trở nên đam mê với nhóm hoặc ý tưởng gây ra nỗi đau,2
"Tôi cảm thấy xấu xí, tôi có xu hướng mặc quần jean và áo nỉ hơn là một chiếc váy đẹp, mặc dù tôi vẫn có thể đi một đôi giày cao gót quanh nhà để nâng cao lòng tự trọng của mình một chút, nhưng tôi chắc chắn sẽ không bận tâm đến việc mua một đôi mới",0
im chưa cảm thấy nhớ nhà nên tôi cảm thấy ổn về điều này,0
Tôi nhảy tôi nên cảm thấy xinh đẹp,1
Tôi tập luyện mỗi sáng trước và cảm thấy tuyệt vời cho nó,1
"Tôi cảm thấy tất cả những điều này chỉ từ đôi mắt của cô ấy, không phải từ sự đụng chạm hay lời nói của cô ấy, nhưng từ đôi mắt của cô ấy, tôi biết rằng tôi chắc chắn có thể đáp lại tình yêu này và biết rằng nó sẽ không vô ích;",0
Tôi đã cảm thấy tuyệt vời cho đến sáng thứ Sáu khi tôi bắt đầu bị chuột rút khủng khiếp tại nơi làm việc,1
Tôi cảm thấy vinh dự khi có thể gọi họ là bạn bè để chia sẻ tình anh em của họ,1
Tôi đã bắt đầu cảm thấy lo lắng khi những đám mây mưa đen dày đặc xông lên bầu trời phía trên thị trấn,4
Tôi đã nói với cô ấy lý do tôi cảm thấy sợ hãi là vì tôi cảm thấy không an toàn,4
Tôi chưa cảm thấy muốn bị TSA làm rung chuyển nên tôi đã kéo sang một bên tại Creative Croissants để ăn trưa,4
Tôi tham gia vào các nhóm mà tôi cảm thấy thực sự lúng túng và bù đắp quá mức bằng cách nói quá nhiều hoặc bằng cách thực sự im lặng,0
"Tôi rất vui mừng khi cuối cùng cũng gặp được người bạn đồng hành đó, người bạn đồng hành đó sẽ ở bên tôi mọi lúc, đặc biệt là khi tôi cô đơn, rất cô đơn, người bạn đồng hành đó sẽ không bao giờ làm tôi thất vọng, người bạn đồng hành đó sẽ vòng tay quanh tôi và khiến tôi cảm thấy được yêu thương;",2
Tôi cảm thấy họ là khá an toàn trên blog của tôi img src http s,1
